years,provinces,case,latitude,longitude
2554,กรุงเทพมหานคร,24634,13.751,100.492
2555,กรุงเทพมหานคร,23715,13.751,100.492
2556,กรุงเทพมหานคร,17780,13.751,100.492
2557,กรุงเทพมหานคร,12211,13.751,100.492
2558,กรุงเทพมหานคร,6982,13.751,100.492
2559,กรุงเทพมหานคร,10898,13.751,100.492
2560,กรุงเทพมหานคร,6905,13.751,100.492
2561,กรุงเทพมหานคร,5603,13.751,100.492
2562,กรุงเทพมหานคร,7661,13.751,100.492
2563,กรุงเทพมหานคร,3022,13.751,100.492
2564,กรุงเทพมหานคร,3940,13.751,100.492
2554,สมุทรปราการ,4456,13.649,100.617
2555,สมุทรปราการ,4304,13.649,100.617
2556,สมุทรปราการ,3697,13.649,100.617
2557,สมุทรปราการ,706,13.649,100.617
2558,สมุทรปราการ,622,13.649,100.617
2559,สมุทรปราการ,1257,13.649,100.617
2560,สมุทรปราการ,1759,13.649,100.617
2561,สมุทรปราการ,906,13.649,100.617
2562,สมุทรปราการ,358,13.649,100.617
2563,สมุทรปราการ,588,13.649,100.617
2564,สมุทรปราการ,451,13.649,100.617
2554,นนทบุรี,2115,13.842,100.494
2555,นนทบุรี,5230,13.842,100.494
2556,นนทบุรี,4621,13.842,100.494
2557,นนทบุรี,4022,13.842,100.494
2558,นนทบุรี,1568,13.842,100.494
2559,นนทบุรี,2205,13.842,100.494
2560,นนทบุรี,1884,13.842,100.494
2561,นนทบุรี,1477,13.842,100.494
2562,นนทบุรี,247,13.842,100.494
2563,นนทบุรี,618,13.842,100.494
2564,นนทบุรี,1058,13.842,100.494
2554,ปทุมธานี,1871,14.012,100.528
2555,ปทุมธานี,4674,14.012,100.528
2556,ปทุมธานี,3717,14.012,100.528
2557,ปทุมธานี,4000,14.012,100.528
2558,ปทุมธานี,979,14.012,100.528
2559,ปทุมธานี,3445,14.012,100.528
2560,ปทุมธานี,1875,14.012,100.528
2561,ปทุมธานี,363,14.012,100.528
2562,ปทุมธานี,149,14.012,100.528
2563,ปทุมธานี,159,14.012,100.528
2564,ปทุมธานี,65,14.012,100.528
2554,พระนครศรีอยุธยา,1852,14.349,100.551
2555,พระนครศรีอยุธยา,3230,14.349,100.551
2556,พระนครศรีอยุธยา,3559,14.349,100.551
2557,พระนครศรีอยุธยา,1109,14.349,100.551
2558,พระนครศรีอยุธยา,552,14.349,100.551
2559,พระนครศรีอยุธยา,1336,14.349,100.551
2560,พระนครศรีอยุธยา,1869,14.349,100.551
2561,พระนครศรีอยุธยา,1650,14.349,100.551
2562,พระนครศรีอยุธยา,1339,14.349,100.551
2563,พระนครศรีอยุธยา,775,14.349,100.551
2564,พระนครศรีอยุธยา,502,14.349,100.551
2554,อ่างทอง,2115,14.592,100.453
2555,อ่างทอง,2297,14.592,100.453
2556,อ่างทอง,2396,14.592,100.453
2557,อ่างทอง,1068,14.592,100.453
2558,อ่างทอง,503,14.592,100.453
2559,อ่างทอง,612,14.592,100.453
2560,อ่างทอง,712,14.592,100.453
2561,อ่างทอง,799,14.592,100.453
2562,อ่างทอง,787,14.592,100.453
2563,อ่างทอง,292,14.592,100.453
2564,อ่างทอง,124,14.592,100.453
2554,ลพบุรี,985,14.804,100.634
2555,ลพบุรี,1014,14.804,100.634
2556,ลพบุรี,800,14.804,100.634
2557,ลพบุรี,556,14.804,100.634
2558,ลพบุรี,71,14.804,100.634
