จังหวัด,ชนิดยาเสพติด,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564
กรุงเทพมหานคร,รวม,"24,634","23,715","17,780","12,211","6,982","10,898","6,905","5,603","7,661","3,022","3,940"
สมุทรปราการ,รวม,"4,456","4,304","3,697",706,622,"1,257","1,759",906,358,588,451
นนทบุรี,รวม,"2,115","5,230","4,621","4,022","1,568","2,205","1,884","1,477",247,618,"1,058"
ปทุมธานี,รวม,"1,871","4,674","3,717","4,000",979,"3,445","1,875",363,149,159,65
พระนครศรีอยุธยา,รวม,"1,852","3,230","3,559","1,109",552,"1,336","1,869","1,650","1,339",775,502
อ่างทอง,รวม,"2,115","2,297","2,396","1,068",503,612,712,799,787,292,124
ลพบุรี,รวม,985,"1,014",800,556,71,858,"1,344","1,156","1,054",476,179
สิงห์บุรี,รวม,265,395,204,92,120,620,708,574,561,560,328
ชัยนาท,รวม,314,390,302,145,139,195,275,271,186,181,195
สระบุรี,รวม,"1,232","1,443",887,484,276,426,322,378,238,230,198
ชลบุรี,รวม,"4,831","6,107","5,099","3,108","1,050",863,"2,075","1,651","3,152","3,622","1,919"
ระยอง,รวม,"1,928","1,020",928,833,807,"3,400","2,874","3,336","3,374",317,"4,835"
จันทบุรี,รวม,"1,184","1,218","1,440",300,193,"1,396","1,110","1,548","1,740","1,440","1,037"
ตราด,รวม,46,117,112,11,26,409,615,594,741,440,52
ฉะเชิงเทรา,รวม,"1,784","2,333","2,580","2,504",814,"3,011","2,210","2,940","2,852","2,286","2,120"
ปราจีนบุรี,รวม,"2,089","2,304","1,917",538,365,"1,329",668,537,"1,498","1,122","1,266"
นครนายก,รวม,"1,101",548,97,7,7,91,647,"1,076","1,189","1,329",730
สระแก้ว,รวม,939,"1,746","1,511","1,026",475,865,484,584,121,"1,515","1,565"
ราชบุรี,รวม,"3,372","1,811","2,537","1,157",707,"1,785","2,136","2,871","2,385","1,831","2,029"
กาญจนบุรี,รวม,"2,204","1,955","1,794","1,051","1,029","1,276","1,008","2,472",677,551,"1,761"
สุพรรณบุรี,รวม,"3,183","3,572","3,876","2,096",578,"1,950","1,080",687,375,"2,572","2,487"
นครปฐม,รวม,"2,651","2,975","4,673","1,168",893,"1,548","1,487","2,449","1,787","1,653",880
สมุทรสาคร,รวม,267,260,659,642,506,663,607,927,"1,534","1,160",826
สมุทรสงคราม,รวม,864,614,298,53,91,120,44,92,180,41,30
