years,drug types,case
2554,เฮโรอีน,797
2555,เฮโรอีน,867
2556,เฮโรอีน,986
2557,เฮโรอีน,1097
2558,เฮโรอีน,829
2559,เฮโรอีน,836
2560,เฮโรอีน,772
2561,เฮโรอีน,1125
2562,เฮโรอีน,1005
2563,เฮโรอีน,926
2564,เฮโรอีน,1091
2554,เอ็กซ์ตาซี,140
2555,เอ็กซ์ตาซี,120
2556,เอ็กซ์ตาซี,114
2557,เอ็กซ์ตาซี,144
2558,เอ็กซ์ตาซี,106
2559,เอ็กซ์ตาซี,201
2560,เอ็กซ์ตาซี,140
2561,เอ็กซ์ตาซี,199
2562,เอ็กซ์ตาซี,213
2563,เอ็กซ์ตาซี,229
2564,เอ็กซ์ตาซี,150
2554,ฝิ่นดิบ,370
2555,ฝิ่นดิบ,404
2556,ฝิ่นดิบ,503
2557,ฝิ่นดิบ,474
2558,ฝิ่นดิบ,262
2559,ฝิ่นดิบ,406
2560,ฝิ่นดิบ,351
2561,ฝิ่นดิบ,485
2562,ฝิ่นดิบ,400
2563,ฝิ่นดิบ,340
2564,ฝิ่นดิบ,360
2554,ฝิ่นสุก,75
2555,ฝิ่นสุก,87
2556,ฝิ่นสุก,88
2557,ฝิ่นสุก,89
2558,ฝิ่นสุก,50
2559,ฝิ่นสุก,47
2560,ฝิ่นสุก,37
2561,ฝิ่นสุก,74
2562,ฝิ่นสุก,44
2563,ฝิ่นสุก,37
2564,ฝิ่นสุก,31
2554,พืชฝิ่น,36
2555,พืชฝิ่น,38
2556,พืชฝิ่น,116
2557,พืชฝิ่น,98
2558,พืชฝิ่น,45
2559,พืชฝิ่น,280
2560,พืชฝิ่น,101
2561,พืชฝิ่น,168
2562,พืชฝิ่น,33
2563,พืชฝิ่น,23
2564,พืชฝิ่น,48
2554,กัญชาแห้ง,9698
2555,กัญชาแห้ง,10834
2556,กัญชาแห้ง,14639
2557,กัญชาแห้ง,13958
2558,กัญชาแห้ง,9441
2559,กัญชาแห้ง,10122
2560,กัญชาแห้ง,8629
2561,กัญชาแห้ง,8584
2562,กัญชาแห้ง,6926
2563,กัญชาแห้ง,6211
2564,กัญชาแห้ง,6407
2554,กัญชาสด,455
