years,เฮโรอีน,เอ็กซ์ตาซี,ฝิ่นดิบ,ฝิ่นสุก,พืชฝิ่น,กัญชาแห้ง,กัญชาสด,ยางกัญชา/กัญชาน้ำ,พืชกระท่อม,เมทแอมเฟตามีน,วัตถุออกฤทธิ์อื่น ๆ,สารระเหย,ไอซ์,โคคาอีน (โคเคน),คีตามีน,โคเดอีน,อื่น ๆ
2554,797,140,370,75,36,9698,455,16,5643,157733,829,2790,16690,59,149,0,2918
2555,867,120,404,87,38,10834,595,6,6970,163927,755,2059,21716,64,141,0,3766
2556,986,114,503,88,116,14639,672,10,10217,201214,516,2099,15214,51,124,0,6927
2557,1097,144,474,89,98,13958,1562,6,15314,154526,645,2012,11463,62,178,0,11105
2558,829,106,262,50,45,9441,1098,3,21656,102021,818,1301,8553,64,126,0,11450
2559,836,201,406,47,280,10122,925,9,23206,115381,492,1046,15154,63,284,1,12488
2560,772,140,351,37,101,8629,834,3,20560,132410,358,621,15532,58,295,0,15240
2561,1125,199,485,74,168,8584,968,5,18315,171678,187,518,19313,64,430,1,15993
2562,1005,213,400,44,33,6926,1741,42,12819,138150,119,486,23688,55,682,0,13052
2563,926,229,340,37,23,6211,6064,10,16312,94126,83,311,25293,48,568,0,15286
2564,1091,150,360,31,48,6407,7038,17,5767,98003,39,197,19339,49,394,0,7487
